news,fake,source
,,
"Majority of farm animal vets report being injured at work, BVA survey finds<p>The British Veterinary Association (BVA) is urging vets, veterinary
employers and farmers to take action to minimise farm health and safety risks, as survey
findings released during Farm Safety Week (15-19 July) reveal that more than 6
in 10 (61%) vets working with production animals on farms suffered injuries in a 12-month snapshot reported last year. A similar
number of vets working in equine practice (65%) and mixed practice (66%) were
also injured by animals in the course of their work.</p><p>One in five production animal vets
responding to BVA’s Autumn 2018 <a href=""https://www.bva.co.uk/voice/"" title=""Voice of the Veterinary Profession survey "">Voice of the Veterinary Profession survey </a>who
had suffered injuries rated their injuries as very or quite severe. By far the
most common injury was bruising caused by kicks, with 81% of production animal
vets who had been injured reporting this. Other injuries reported included
crush injuries, lacerations, scratches and bites. Almost
a fifth of vets (19%) who had been injured had to take time off work as a
result of their most severe injury.</p><p>Vets responding to the survey described some of the injuries they had
received and their impact on their health and careers.</p><p>“I was kicked by a cow
during a caesarean, flew backwards into my kit and sprained a wrist - in the
same week as a horse hit my face with its head. But I was unable to take time
off work as I’m the only one here,” one vet said.</p><p>“Regrettably, I am giving
up large animal work because it is too dangerous,” reported another vet. “I am
the lead earner in my house and we wish to start a family and cattle work is
simply too dangerous now because of the risk of serious kick and crush
injuries.”</p><p>BVA
President Simon Doherty shared his own first-hand experience with on-farm
injuries and their career-changing impact:<span></span></p><p>“I’ve been stood on, kicked
and had my arm broken whilst working with cattle. I’ve had problems with my
back due to the physical aspects of repeated lambings and calvings –
particularly at night-time – and when I ruptured a spinal ligament calving a
heifer with a uterine torsion, the injury was serious enough that I could no
longer continue working in large animal practice.”</p><h2>Shared responsibility</h2><p>Mr Doherty emphasised the importance of all parties taking health and
safety on farm seriously.</p><p>“These figures show the serious risk of injury that production animal
vets run in the course of their work, even when handling facilities are
relatively good. Animals on a farm can be large, heavy and unpredictable, and
vets up and down the country have seen colleagues injured on farms and
frequently unable to work as a result. </p><p>“Health and safety assessments by farmers, vets and veterinary employers
can reduce these injuries and save lives. Safe and well-maintained facilities and restraining equipment, such as
cattle crushes, pens, gates and safe escape routes, are also key to reducing
injuries to humans as well as animals. I’d
encourage farmers and vets to start the conversation and take action to
minimise avoidable risks. </p><p>""I would also ask vets going out on
farms to keep updating existing risk assessments to keep their colleagues and
themselves safe, and all veterinary practices to make use of our Farm Health
and Safety guide to develop action plans."" 
</p><h2>For veterinary practices</h2><p>BVA’s <a href=""https://www.bva.co.uk/Workplace-guidance/Practice-management/farm-health-and-safety/"" title=""Farm Health and Safety guide"">Farm Health and Safety guide</a> and risk assessment form for
veterinary practices includes information about: </p><ul type=""disc""><li>The
     Acts and Regulations aimed at reducing on farm injuries and death</li><li>How
     to develop a practice policy including management of hazards and
     risk </li><li>A
     list of the most common risks to assess</li><li>Reporting
     requirements when accidents occur</li></ul><p>The guide also includes a section for employees identifying key points
and principles to help them meet health and safety standards when working on
farms.</p><p>Accompanying the Farm Health and Safety guide a risk assessment form
gives employees an overview of the risks on each farm to forewarn them of
potential problems. It also encourages effective communication with the client
before attending the premises to make the visit as efficient as possible. </p><p>The
<a href=""https://www.beva.org.uk/"" title=""British Equine Veterinary Association"">British Equine Veterinary Association</a> has also developed guidance on reducing
work-related injuries to equine practitioners, <a href=""https://www.beva.org.uk/Resources-For-Vets-Practices/Practice-Management/Workplace-Safety"" title=""Managing risks from&#xA;working with horses"">Managing risks from
working with horses</a>. </p><h2><a href=""https://www.beva.org.uk/Resources-For-Vets-Practices/Practice-Management/Workplace-Safety""><span></span></a><span></span>For farmers</h2><p>The Health and Safety Executive’s guide, <a href=""http://www.hse.gov.uk/pubns/priced/hsg270.pdf"" title=""Farmwise"">Farmwise</a>, has
easy-to-follow, practical advice for farmers to make sure anyone working on a
farm, including vets, is safe and healthy at work. It can be used to start a
discussion with vets about minimising avoidable risks on farm.</p><p>BEVA has <a href=""https://www.beva.org.uk/Resources-For-Vets-Practices/Practice-Management/Workplace-Safety"" title=""guidance on workplace safety"">guidance on workplace safety</a> for those handling and involved with equines,
including seven video tutorials on quick and simple techniques to help horse
owners prepare their horses to be quiet, relaxed and safe for veterinary
procedures.</p>",1,BVA
,,
"Vets and animal welfare experts encouraged to apply for vet-led charity’s trustee roles<p>The <a href=""https://www.animalwelfarefoundation.org.uk/"" title=""Animal Welfare Foundation "">Animal Welfare
Foundation </a>(AWF) is looking for three new trustees to help drive the charity’s
mission to improve the welfare of animals through veterinary science, education
and debate.</p><p>The charity is inviting applications from
veterinary and animal welfare professionals across the UK, especially those
with experience in equine and small animal practice and research project
management, to provide strategic direction to the organisation over a
three-year term.</p><p>Trustees are expected to attend at least two
meetings a year, as well as AWF’s annual flagship event in Westminster,
the <a href=""https://www.animalwelfarefoundation.org.uk/2018-discussion-forum/"" title=""AWF Discussion Forum"">AWF Discussion Forum</a>. In addition to this,
they are also encouraged to engage with one or more of AWF’s Sub Committees
focussing on particular areas of the charity’s activity, such as grant making
and public education. </p><h3>AWF Chair of Trustees
Chris Laurence said:</h3><p>“Our trustees play a very
active and vital role in the charity’s work, and this is a wonderful
opportunity to make a real difference. I would encourage all veterinary and
animal welfare professionals who are keen to use their expertise towards giving
animals a better life to apply.”</p><h3>Current AWF Trustee Julian
Kupfer said:</h3><p>“If
I ever thought being an AWF trustee was just a matter of turning up for the odd
meeting – well, I got that wrong – and that’s the joy of it.  The more you
put in the more you get out of it.  It’s great to be working with
likeminded people whose diverse spread of backgrounds and expertise really
stimulates the grey matter.  The result of it all is a meaningful
furthering of animal welfare driven by science, evidence base and a utilitarian
approach. What’s not to like?”</p><h3>Stacey Blease, who joined
the charity as a Trustee last year, said:</h3><p>""I
jumped at the possibility of contributing to the important work of AWF. The
charity works to improve the welfare of many different species and the variety
of our activities makes for a stimulating and diverse role. Being an AWF trustee
is hugely rewarding when you experience the buzz sparked by the Discussion
Forum debates and know that the vast majority of attendees who completed the
feedback survey intend to take action based on what they learnt during our
annual event.""</p><p>The deadline for sending AWF Trustee applications
is midnight, 13 August 2019. The role description and person specification
can be found on the <a href=""https://www.animalwelfarefoundation.org.uk/become-a-trustee/"" title=""AWF website"">AWF website</a>.  </p>",1,BVA
,,
"Call for top pics as BVA launches 2019 Veterinary photographer of the year competition<p>Budding snappers from across the
veterinary community are being invited to send in their best pictures as BVA launches its fourth annual photography
competition.</p><p>The competition, which is open to all
BVA members, is calling for entries under two categories. Submissions in the
‘All creatures great and small’ category cover images from across the animal
kingdom – whether it’s wildlife. livestock or pets – taken either inside or
outside of the workplace. Meanwhile, in the ‘One Veterinary Community – #WeAreBVA’
category the judging panel will be seeking out snaps that show veterinary
working life through a lens and celebrate the diversity of BVA’s membership.</p><p>Last year saw over 500 entries from
members hoping to catch the eye of competition judges including celebrated
wildlife photographer David Tipling. Stephen Ashman won in the ‘All creatures
great and small’ category with a picture of a pair of wild ponies, while Peter
Myatt won in the ‘Human:animal bond’ category
with a photo entitled ‘Best part of the job’, which shows a laid-back
10-week-old cocker spaniel puppy lounging contentedly on Peter’s lap.</p><p>This year, the
winner in each category will receive a £250 John Lewis gift voucher and get the
chance to have their photographs displayed at BVA Members’ Day in
September, at other BVA events and used in BVA communications.</p><p>Simon Doherty, BVA President, said:
“The annual photography competition is a real calendar highlight and an
incredible showcase for the diverse, valuable and often eye-catching work being
carried out across the veterinary community. Every year since the competition
launched we’ve been really impressed by the quality and range of entries and
I’m really looking forward to seeing our talented members keeping standards
just as high this year. Whether you’re a serious snapper or a casual clicker,
we really want to see how you catch on camera the animal kingdom and what being
a BVA member means to you.”</p><p>The deadline for entries to this
year’s competition is midnight on 1 September 2019.  Submissions
should promote responsible animal interaction as well as positive animal health
and welfare. For
more information and to submit photos, <a href=""https://www.bva.co.uk/news-campaigns-and-policy/bva-photo-competition/"" title=""please visit the competition page"">please visit the competition page</a>. <a href=""https://www.bva.co.uk/news-campaigns-and-policy/bva-photo-competition/""></a><span></span></p>",1,BVA
,,
"NI vets applaud swift action as African Swine Fever DNA detected in animal products brought back in luggage<p>BVA has welcomed the quick response from government vets and inspectors who
detected traces of African Swine Fever DNA in animal products brought into Northern
Ireland airports in passenger luggage.</p><p>According <a href=""https://www.daera-ni.gov.uk/news/daera-reminds-holidaymakers-dont-risk-it-leave-it-behind-0"" title=""to a statement released by the Department for Agriculture, Environment and Rural Affairs (DAERA)"">to a statement released by the Department for Agriculture, Environment and Rural Affairs (DAERA)</a>, 300 kg of illegal meat and dairy
products, detected in passenger luggage, was seized by DAERA portal officials at Northern Ireland’s airports in June alone. Traces of African Swine Fever DNA were detected in
samples of the seized products after being sent to the Agri-Food and Biosciences
Institute (AFBI) for testing.</p><p>African Swine Fever poses no health
risk to humans but is highly contagious and usually fatal in pigs. The disease
can be easily transmitted in infected pork products, and outbreaks have been
confirmed in countries including Belgium, Bulgaria and China. Northern Ireland
has imposed strict controls prohibiting personal imports of meat and dairy
products from most countries outside of the EU.</p><p>Simon Doherty, BVA President, said: “It’s
very encouraging to see that government vets and inspectors are united in their
vigilance to prevent the incursion of this deadly disease. We are fortunate in
Northern Ireland to have a surveillance facility like AFBI that can carry out
quick and effective testing and continuous monitoring for disease risks. </p><p>“African Swine Fever poses a significant
and growing threat to animal welfare and agriculture throughout all regions of
the UK, so we need to continue to make every effort to curb its spread and
raise public awareness of the risks of bringing animal products that may be
carrying the disease into the country. The seizure of 300 kg of illegally
imported products in June alone really underlines the scale of this important
task ahead.” </p>",1,BVA
,,
"Expert speakers to go ‘behind the headlines’ at BVA Congress<p>An exciting range of veterinary scientists and experts will take to the
stage at this year’s BVA Congress at the London Vet Show to go behind the
headlines on some of the veterinary profession’s biggest challenges and most
talked about issues.</p><p>From the anti-vax movement and large-scale puppy farming to bad
workplaces and the profession’s role in sustainability, this year’s agenda aims
to exceed expectations with a range of thought-provoking presentations and
panel discussions.</p><p>The full programme for BVA Congress – a highlight of <a href=""https://london.vetshow.com/welcome"" title=""the London Vet Show&#xA;(14-15 November 2019)"">the London Vet Show
(14-15 November 2019)</a> – has been unveiled today and includes: </p><ul><li><strong>Costing the earth? Now is the time to green the vet profession </strong>With 89% of vets saying that they would like to play a more active role
in the sustainability agenda, and as the climate crisis continues to hit the
headlines, we will open the Congress with pioneering ‘green’ vet Ellie West and
the founder of the NHS Sustainable Development Unit David Pencheon in this
timely session. </li><li><strong>The rise of ‘anti-vaxxers’: how should vets respond? </strong>With increasing concern that the anti-vax sentiment is moving into
animal health, we will hear from an Associate Professor in Sociology, Pru
Hobson-West, on what is driving these attitudes.</li><li><strong>Veterinary
Workplaces: the good, the bad and the ugly </strong>We lift the lid on
what’s happening in veterinary workplaces with a unique insight from locums
with experience of every shape and size of practice and get an update on BVA’s
Good Workplace Working Group. <span lang=""EN-US""></span></li><li><strong>Will the EMS bubble burst? </strong>With new vet
schools on the horizon and growing intake, we’ll hear different perspectives
from students, academics and practitioners on the critical question of whether
the current system is truly sustainable.</li><li><strong>The value of difference: why we should all care about diversity and
inclusion in the workplace</strong> Following the
launch of BVA’s discrimination report, we are delighted to welcome leading
diversity expert and senior psychologist Laura Haycock from Pearn
Kandola for insights on this critical issue.<span lang=""EN-US""></span></li></ul><p>BVA is delighted to be working alongside our partners to deliver
sessions on the ethics of large-scale puppy farming in association with AWF, on
the future of veterinary nursing with BVNA, and on pet obesity with Mars
Petcare. <span lang=""EN-US""></span></p><p>The much-anticipated
Wooldridge Memorial Lecture will be given by Dr Temple Grandin, Professor of
Animal Science at Colorado State University and named by Time Magazine as one
of the 100 most influential people. Dr Grandin is a pioneering animal scientist,
best-selling author and autism spokesperson. She will be giving a ‘unique
insight’ into the minds of animals.</p><p>Launching the
programme, BVA President Simon Doherty said:</p><p> “This year’s BVA Congress will provide a
platform for delegates to come together to lift the lid and debate issues such
as sustainability within the profession, pet obesity, diversity within the
profession, anti-vax attitudes, and EMS. It’s an opportunity for vets of all
career stages to take time out of clinical CPD and sink their teeth into wider
issues that we all feel passionately about.”<span></span></p><p>BVA Congress sits among
an array of educational sessions from BVA and the RVC including the BVA Farm
Animal stream, the BVA/BEVA Equine stream, the BVA Career Development stream
and the RVC companion animal clinical streams. There is a total of 150+ hours
of veterinary CPD to be gained from attending the show. BVA members can get
access to the full BVA offering, as well as the usual London Vet Show
programme, for 15% less than the lowest advertised price, using their BVA
number and the code BVA8 at <a href=""https://london.vetshow.com/welcome"" title=""londonvetshow.co.uk"">londonvetshow.co.uk</a>.</p>",1,BVA
