body,fake,source
,,
Tory leadership: Johnson and Hunt set for TV debate clashConservative leadership rivals Boris Johnson and Jeremy Hunt are due to debate head-to-head for the first time in front of a live TV audience.,0,BBC
,,
Nanda Devi: Video reveals last moments of Himalayan climbersIndian authorities have released a video showing the final moments of a team of climbers whose bodies were recovered in the Himalayas. ,0,BBC
,,
"'Amazing' gene-silencing drugs reach NHSA new form of medicine called ""gene-silencing"" has been approved for use by the NHS in England. ",0,BBC
,,
"HPV vaccine for boys 'will prevent thousands of cancers'Health officials say the HPV vaccine for 12 to 13-year-old boys, starting after the summer, will prevent 29,000 cancers in UK men in the next 40 years.",0,BBC
,,
"Desktop dining rules: No boiled eggs or tinned fish""No eggs, tinned fish or crunchy Twiglets"", were some of the responses I got on social networking site LinkedIn when I asked whether there were any workplace rules for what you could or could not eat at your desk.",0,BBC
,,
"Hong Kong extradition bill 'is dead' says Carrie LamHong Kong leader Carrie Lam has said the controversial bill that would have allowed extradition to the Chinese mainland ""is dead"".",0,BBC
,,
"Ambassador 'has PM's full support' despite Trump criticismDowning Street has reaffirmed its ""full support"" for the UK's ambassador to the US after Donald Trump said he will no longer work with him.",0,BBC
,,
Filippo Magnini: Italian Olympic swimming star saves drowning newly-wedIf you venture too far out of your depth it helps to have an Olympic swimmer nearby.,0,BBC
,,
Brexit: MPs to try to block no deal through Northern Ireland BillMPs will try to block a no-deal Brexit by attempting to amend the Northern Ireland Bill on Tuesday. ,0,BBC
,,
"Stranger Things 3 breaks Netflix streaming recordStranger Things' return to Netflix has been massively popular, with the third instalment breaking the streaming service's viewer records. ",0,BBC
,,
"Russia's RT banned from UK media freedom conferenceRussia's RT and Sputnik news agencies have been banned from attending a conference on media freedom in London for playing an ""active role in spreading disinformation"".",0,BBC
,,
Labour could shift position on Brexit referendumLabour's shadow cabinet could be set to shift its position on a further Brexit referendum after a meeting on Tuesday. ,0,BBC
,,
"Ibrahim Mahama: The artist building a parliament from recycled train seatsDozens of worn plastic train seats and dilapidated wooden lockers that were destined for the dump in Ghana have ended up in a Manchester art gallery, in a work by one of Africa's most exciting young artists.",0,BBC
,,
"Green bicycle mystery: Case 'worthy of Sherlock Holmes'It was a murder trial that captivated a nation: a well-spoken former Army officer represented by the most famous barrister of the day stands accused of killing a vivacious, independent young woman.",0,BBC
,,
"How social media could ruin your businessWhether it comes from hackers, disgruntled customers, or is simply a backlash against something you post, negative social media content can destroy trust in your brand in a matter of minutes.",0,BBC
,,
Fear and mistrust stalk battle to halt spread of EbolaThere can be few greater challenges than tackling a lethal epidemic.,0,BBC
,,
Why there's more to the Northern Ireland bill than meets the eyeThe Northern Ireland Executive Formation Bill could bring up many more issues than the government intends. ,0,BBC
,,
Women's World Cup: What is the pay gap?Demands for equal pay in football have grown louder following the successful staging of the Women's World Cup tournament in France.,0,BBC
,,
"Is Stella McCartney right - should we stop washing our clothes?""Basically, in life, rule of thumb: if you don't absolutely have to clean anything, don't clean it.""",0,BBC
,,
'The kids emptied our bank account playing Fifa'Four children spent nearly £550 in three weeks buying player packs to play the Fifa football video game online on the family's Nintendo Switch console.,0,BBC
,,
"Emotional Oranges: The band whose hidden identity keeps them 'normal'""We want to live regular lives, to be totally honest.""",0,BBC
,,
"Patrouille Suisse: Fighter jet display team fly-by misses townA Swiss aerial display team has performed a fly-by over the wrong town, surprising people at a yodelling festival taking place nearby. ",0,BBC
,,
"University applications 'dictated by train fares'""It's important to talk about the cost of going to open days,"" says Rachel, a sixth-former from Plymouth, in Devon, who is looking at university choices.",0,BBC
,,
"No-deal Brexit: Can MPs overrule the new prime minister?The question of how the UK will leave the European Union (EU) is very much alive, as Conservative Party members choose a new prime minister. Do MPs have the power to stop a no-deal Brexit if the new prime minister wants one?",0,BBC
,,
body,fake,BBC
,,
"Welsh school uniforms to be cheaper and gender neutralSchools in Wales are being urged to have uniforms which are more affordable, accessible and gender neutral, by new statutory guidelines.",0,BBC
,,
"Nicki Minaj pulls out of Saudi Arabia festival after backlashRapper Nicki Minaj has cancelled a scheduled performance in Saudi Arabia next week, citing her support for the rights of women and the LGBT community.",0,BBC
,,
Tory leadership: Johnson and Hunt trade blows over Brexit and TrumpBoris Johnson and Jeremy Hunt have clashed on Brexit and UK relations with Donald Trump in a lively and occasionally bad-tempered TV debate.,0,BBC
,,
Papua New Guinea: Women and children killed in tribal massacreChildren and pregnant women are among those murdered in a tribal massacre in Papua New Guinea's Highlands area.,0,BBC
,,
"Climate change: UK government 'not acting fast enough'The UK government is facing a ""get real"" moment over global heating, its advisers have said.",0,BBC
,,
Pembrokeshire rescue: Twenty-three people rescued from sinking boatTwenty-three people have been rescued from a sinking boat off the Welsh coast.,0,BBC
,,
Brexit: Bid to make no deal more difficult scrapes through CommonsMPs have voted by the thinnest of margins for a process that would make it more difficult for a future prime minister to prorogue Parliament.,0,BBC
,,
Moon landings: What was the 1969 Apollo 11 mission?All images subject to copyright,0,BBC
,,
"NHS fees: 'Couple couldn't take baby's body home'Charging overseas patients for NHS care in England must be suspended until it is clear it is not harming women, the Royal College of Midwives has said.",0,BBC
,,
"Australian seagulls carry antibiotic-resistant superbugsSeagulls all over Australia are carrying superbugs resistant to antibiotics, scientists say. ",0,BBC
,,
US to enlist military allies in Gulf and Yemen watersThe US says it wants to create an international military coalition to safeguard waters around Iran and Yemen. ,0,BBC
,,
"Amazon Alexa offering NHS health advicePeople will be able to get expert health advice using Amazon Alexa devices under a partnership with the NHS, the government has announced. ",0,BBC
,,
'The kids emptied our bank account playing Fifa'Four children spent nearly £550 in three weeks buying player packs to play the Fifa football video game online on the family's Nintendo Switch console.,0,BBC
,,
"Ross Perot: The self-made billionaire who upended US politicsRoss Perot, the Texan billionaire who ran for president twice, always said that he had lived the American Dream.",0,BBC
,,
Trump diplomatic row: What do we know about leaked UK emails?Confidential emails from the UK's ambassador in Washington which criticised President Donald Trump were leaked over the weekend.,0,BBC
,,
The South African Uber driving singing his way to opera fameA South African Uber driver who loves belting out arias at full volume for his passengers has found fame and a career in opera - thanks to a viral video of a performance in his cab.,0,BBC
,,
"How espionage and ambition built the first factoryPiedmont, in north-west Italy, is celebrated for its fine wine. But when a young Englishman, John Lombe, travelled there in the early 18th Century, he was not going to savour a glass of Barolo. His purpose was industrial espionage. ",0,BBC
,,
"Jai Shri Ram: The Hindu chant that became a murder cryIn many parts of India, Hindus often invoke the popular god Ram's name as a greeting. But in recent years, Hindu lynch mobs have turned Ram's name into a murder cry, writes the BBC's Geeta Pandey in Delhi.",0,BBC
,,
"Emanuela Orlandi death: Brother's search to solve Vatican murder mysteryInside the world's smallest state, the Teutonic Cemetery is easy to miss.",0,BBC
,,
"The Left Behind: TV drama shows the face of the far rightThe makers of a BBC docudrama about the rise of far-right movements in the UK believe it's largely driven by a growing sense of ""hopelessness"" in some sections of society.",0,BBC
,,
Boris Johnson and Jeremy Hunt's debate fact-checkedThe Reality Check team has been fact-checking claims by Boris Johnson and Jeremy Hunt who appeared on an ITV debate as part of the race to succeed Theresa May as Conservative leader and prime minister. ,0,BBC
,,
"Sunken WW1 Scapa Flow warships sold for £85,000 on eBayFour World War One warships sunk in Scapa Flow in Orkney in 1919 have been sold on eBay for a combined total of £85,000.",0,BBC
,,
US launches inquiry into French plan to tax tech giantsUS President Donald Trump has ordered an investigation into France's planned tax on tech giants - a move that could result in retaliatory tariffs.,0,BBC
,,
"Mulan: Disney aims to win over China with second take on the legendThere won't be songs or talking dragons, and the film's antagonist will be a Chinese sorceress, not an evil leader of the Hun army - but Mulan is making her return to the big screen.",0,BBC
,,
England v Australia at the Cricket World Cup: 142 years of beefIt's one of the oldest and most enduring rivalries in sport.,0,BBC
,,
"Siberian lake loved by Instagrammers is toxic, power plant saysA turquoise lake in Siberia where people have been taking selfies is actually a power plant's ash dump.",0,BBC
,,
