body,fake,source
"Majority of farm animal vets report being injured at work, BVA survey finds<p>The British Veterinary Association (BVA) is urging vets, veterinary
employers and farmers to take action to minimise farm health and safety risks, as survey
findings released during Farm Safety Week (15-19 July) reveal that more than 6
in 10 (61%) vets working with production animals on farms suffered injuries in a 12-month snapshot reported last year. A similar
number of vets working in equine practice (65%) and mixed practice (66%) were
also injured by animals in the course of their work.</p><p>One in five production animal vets
responding to BVA’s Autumn 2018 <a href=""https://www.bva.co.uk/voice/"" title=""Voice of the Veterinary Profession survey "">Voice of the Veterinary Profession survey </a>who
had suffered injuries rated their injuries as very or quite severe. By far the
most common injury was bruising caused by kicks, with 81% of production animal
vets who had been injured reporting this. Other injuries reported included
crush injuries, lacerations, scratches and bites. Almost
a fifth of vets (19%) who had been injured had to take time off work as a
result of their most severe injury.</p><p>Vets responding to the survey described some of the injuries they had
received and their impact on their health and careers.</p><p>“I was kicked by a cow
during a caesarean, flew backwards into my kit and sprained a wrist - in the
same week as a horse hit my face with its head. But I was unable to take time
off work as I’m the only one here,” one vet said.</p><p>“Regrettably, I am giving
up large animal work because it is too dangerous,” reported another vet. “I am
the lead earner in my house and we wish to start a family and cattle work is
simply too dangerous now because of the risk of serious kick and crush
injuries.”</p><p>BVA
President Simon Doherty shared his own first-hand experience with on-farm
injuries and their career-changing impact:<span></span></p><p>“I’ve been stood on, kicked
and had my arm broken whilst working with cattle. I’ve had problems with my
back due to the physical aspects of repeated lambings and calvings –
particularly at night-time – and when I ruptured a spinal ligament calving a
heifer with a uterine torsion, the injury was serious enough that I could no
longer continue working in large animal practice.”</p><h2>Shared responsibility</h2><p>Mr Doherty emphasised the importance of all parties taking health and
safety on farm seriously.</p><p>“These figures show the serious risk of injury that production animal
vets run in the course of their work, even when handling facilities are
relatively good. Animals on a farm can be large, heavy and unpredictable, and
vets up and down the country have seen colleagues injured on farms and
frequently unable to work as a result. </p><p>“Health and safety assessments by farmers, vets and veterinary employers
can reduce these injuries and save lives. Safe and well-maintained facilities and restraining equipment, such as
cattle crushes, pens, gates and safe escape routes, are also key to reducing
injuries to humans as well as animals. I’d
encourage farmers and vets to start the conversation and take action to
minimise avoidable risks. </p><p>""I would also ask vets going out on
farms to keep updating existing risk assessments to keep their colleagues and
themselves safe, and all veterinary practices to make use of our Farm Health
and Safety guide to develop action plans."" 
</p><h2>For veterinary practices</h2><p>BVA’s <a href=""https://www.bva.co.uk/Workplace-guidance/Practice-management/farm-health-and-safety/"" title=""Farm Health and Safety guide"">Farm Health and Safety guide</a> and risk assessment form for
veterinary practices includes information about: </p><ul type=""disc""><li>The
     Acts and Regulations aimed at reducing on farm injuries and death</li><li>How
     to develop a practice policy including management of hazards and
     risk </li><li>A
     list of the most common risks to assess</li><li>Reporting
     requirements when accidents occur</li></ul><p>The guide also includes a section for employees identifying key points
and principles to help them meet health and safety standards when working on
farms.</p><p>Accompanying the Farm Health and Safety guide a risk assessment form
gives employees an overview of the risks on each farm to forewarn them of
potential problems. It also encourages effective communication with the client
before attending the premises to make the visit as efficient as possible. </p><p>The
<a href=""https://www.beva.org.uk/"" title=""British Equine Veterinary Association"">British Equine Veterinary Association</a> has also developed guidance on reducing
work-related injuries to equine practitioners, <a href=""https://www.beva.org.uk/Resources-For-Vets-Practices/Practice-Management/Workplace-Safety"" title=""Managing risks from&#xA;working with horses"">Managing risks from
working with horses</a>. </p><h2><a href=""https://www.beva.org.uk/Resources-For-Vets-Practices/Practice-Management/Workplace-Safety""><span></span></a><span></span>For farmers</h2><p>The Health and Safety Executive’s guide, <a href=""http://www.hse.gov.uk/pubns/priced/hsg270.pdf"" title=""Farmwise"">Farmwise</a>, has
easy-to-follow, practical advice for farmers to make sure anyone working on a
farm, including vets, is safe and healthy at work. It can be used to start a
discussion with vets about minimising avoidable risks on farm.</p><p>BEVA has <a href=""https://www.beva.org.uk/Resources-For-Vets-Practices/Practice-Management/Workplace-Safety"" title=""guidance on workplace safety"">guidance on workplace safety</a> for those handling and involved with equines,
including seven video tutorials on quick and simple techniques to help horse
owners prepare their horses to be quiet, relaxed and safe for veterinary
procedures.</p>",1,BVA
"Vets and animal welfare experts encouraged to apply for vet-led charity’s trustee roles<p>The <a href=""https://www.animalwelfarefoundation.org.uk/"" title=""Animal Welfare Foundation "">Animal Welfare
Foundation </a>(AWF) is looking for three new trustees to help drive the charity’s
mission to improve the welfare of animals through veterinary science, education
and debate.</p><p>The charity is inviting applications from
veterinary and animal welfare professionals across the UK, especially those
with experience in equine and small animal practice and research project
management, to provide strategic direction to the organisation over a
three-year term.</p><p>Trustees are expected to attend at least two
meetings a year, as well as AWF’s annual flagship event in Westminster,
the <a href=""https://www.animalwelfarefoundation.org.uk/2018-discussion-forum/"" title=""AWF Discussion Forum"">AWF Discussion Forum</a>. In addition to this,
they are also encouraged to engage with one or more of AWF’s Sub Committees
focussing on particular areas of the charity’s activity, such as grant making
and public education. </p><h3>AWF Chair of Trustees
Chris Laurence said:</h3><p>“Our trustees play a very
active and vital role in the charity’s work, and this is a wonderful
opportunity to make a real difference. I would encourage all veterinary and
animal welfare professionals who are keen to use their expertise towards giving
animals a better life to apply.”</p><h3>Current AWF Trustee Julian
Kupfer said:</h3><p>“If
I ever thought being an AWF trustee was just a matter of turning up for the odd
meeting – well, I got that wrong – and that’s the joy of it.  The more you
put in the more you get out of it.  It’s great to be working with
likeminded people whose diverse spread of backgrounds and expertise really
stimulates the grey matter.  The result of it all is a meaningful
furthering of animal welfare driven by science, evidence base and a utilitarian
approach. What’s not to like?”</p><h3>Stacey Blease, who joined
the charity as a Trustee last year, said:</h3><p>""I
jumped at the possibility of contributing to the important work of AWF. The
charity works to improve the welfare of many different species and the variety
of our activities makes for a stimulating and diverse role. Being an AWF trustee
is hugely rewarding when you experience the buzz sparked by the Discussion
Forum debates and know that the vast majority of attendees who completed the
feedback survey intend to take action based on what they learnt during our
annual event.""</p><p>The deadline for sending AWF Trustee applications
is midnight, 13 August 2019. The role description and person specification
can be found on the <a href=""https://www.animalwelfarefoundation.org.uk/become-a-trustee/"" title=""AWF website"">AWF website</a>.  </p>",1,BVA
"Call for top pics as BVA launches 2019 Veterinary photographer of the year competition<p>Budding snappers from across the
veterinary community are being invited to send in their best pictures as BVA launches its fourth annual photography
competition.</p><p>The competition, which is open to all
BVA members, is calling for entries under two categories. Submissions in the
‘All creatures great and small’ category cover images from across the animal
kingdom – whether it’s wildlife. livestock or pets – taken either inside or
outside of the workplace. Meanwhile, in the ‘One Veterinary Community – #WeAreBVA’
category the judging panel will be seeking out snaps that show veterinary
working life through a lens and celebrate the diversity of BVA’s membership.</p><p>Last year saw over 500 entries from
members hoping to catch the eye of competition judges including celebrated
wildlife photographer David Tipling. Stephen Ashman won in the ‘All creatures
great and small’ category with a picture of a pair of wild ponies, while Peter
Myatt won in the ‘Human:animal bond’ category
with a photo entitled ‘Best part of the job’, which shows a laid-back
10-week-old cocker spaniel puppy lounging contentedly on Peter’s lap.</p><p>This year, the
winner in each category will receive a £250 John Lewis gift voucher and get the
chance to have their photographs displayed at BVA Members’ Day in
September, at other BVA events and used in BVA communications.</p><p>Simon Doherty, BVA President, said:
“The annual photography competition is a real calendar highlight and an
incredible showcase for the diverse, valuable and often eye-catching work being
carried out across the veterinary community. Every year since the competition
launched we’ve been really impressed by the quality and range of entries and
I’m really looking forward to seeing our talented members keeping standards
just as high this year. Whether you’re a serious snapper or a casual clicker,
we really want to see how you catch on camera the animal kingdom and what being
a BVA member means to you.”</p><p>The deadline for entries to this
year’s competition is midnight on 1 September 2019.  Submissions
should promote responsible animal interaction as well as positive animal health
and welfare. For
more information and to submit photos, <a href=""https://www.bva.co.uk/news-campaigns-and-policy/bva-photo-competition/"" title=""please visit the competition page"">please visit the competition page</a>. <a href=""https://www.bva.co.uk/news-campaigns-and-policy/bva-photo-competition/""></a><span></span></p>",1,BVA
"NI vets applaud swift action as African Swine Fever DNA detected in animal products brought back in luggage<p>BVA has welcomed the quick response from government vets and inspectors who
detected traces of African Swine Fever DNA in animal products brought into Northern
Ireland airports in passenger luggage.</p><p>According <a href=""https://www.daera-ni.gov.uk/news/daera-reminds-holidaymakers-dont-risk-it-leave-it-behind-0"" title=""to a statement released by the Department for Agriculture, Environment and Rural Affairs (DAERA)"">to a statement released by the Department for Agriculture, Environment and Rural Affairs (DAERA)</a>, 300 kg of illegal meat and dairy
products, detected in passenger luggage, was seized by DAERA portal officials at Northern Ireland’s airports in June alone. Traces of African Swine Fever DNA were detected in
samples of the seized products after being sent to the Agri-Food and Biosciences
Institute (AFBI) for testing.</p><p>African Swine Fever poses no health
risk to humans but is highly contagious and usually fatal in pigs. The disease
can be easily transmitted in infected pork products, and outbreaks have been
confirmed in countries including Belgium, Bulgaria and China. Northern Ireland
has imposed strict controls prohibiting personal imports of meat and dairy
products from most countries outside of the EU.</p><p>Simon Doherty, BVA President, said: “It’s
very encouraging to see that government vets and inspectors are united in their
vigilance to prevent the incursion of this deadly disease. We are fortunate in
Northern Ireland to have a surveillance facility like AFBI that can carry out
quick and effective testing and continuous monitoring for disease risks. </p><p>“African Swine Fever poses a significant
and growing threat to animal welfare and agriculture throughout all regions of
the UK, so we need to continue to make every effort to curb its spread and
raise public awareness of the risks of bringing animal products that may be
carrying the disease into the country. The seizure of 300 kg of illegally
imported products in June alone really underlines the scale of this important
task ahead.” </p>",1,BVA
"Expert speakers to go ‘behind the headlines’ at BVA Congress<p>An exciting range of veterinary scientists and experts will take to the
stage at this year’s BVA Congress at the London Vet Show to go behind the
headlines on some of the veterinary profession’s biggest challenges and most
talked about issues.</p><p>From the anti-vax movement and large-scale puppy farming to bad
workplaces and the profession’s role in sustainability, this year’s agenda aims
to exceed expectations with a range of thought-provoking presentations and
panel discussions.</p><p>The full programme for BVA Congress – a highlight of <a href=""https://london.vetshow.com/welcome"" title=""the London Vet Show&#xA;(14-15 November 2019)"">the London Vet Show
(14-15 November 2019)</a> – has been unveiled today and includes: </p><ul><li><strong>Costing the earth? Now is the time to green the vet profession </strong>With 89% of vets saying that they would like to play a more active role
in the sustainability agenda, and as the climate crisis continues to hit the
headlines, we will open the Congress with pioneering ‘green’ vet Ellie West and
the founder of the NHS Sustainable Development Unit David Pencheon in this
timely session. </li><li><strong>The rise of ‘anti-vaxxers’: how should vets respond? </strong>With increasing concern that the anti-vax sentiment is moving into
animal health, we will hear from an Associate Professor in Sociology, Pru
Hobson-West, on what is driving these attitudes.</li><li><strong>Veterinary
Workplaces: the good, the bad and the ugly </strong>We lift the lid on
what’s happening in veterinary workplaces with a unique insight from locums
with experience of every shape and size of practice and get an update on BVA’s
Good Workplace Working Group. <span lang=""EN-US""></span></li><li><strong>Will the EMS bubble burst? </strong>With new vet
schools on the horizon and growing intake, we’ll hear different perspectives
from students, academics and practitioners on the critical question of whether
the current system is truly sustainable.</li><li><strong>The value of difference: why we should all care about diversity and
inclusion in the workplace</strong> Following the
launch of BVA’s discrimination report, we are delighted to welcome leading
diversity expert and senior psychologist Laura Haycock from Pearn
Kandola for insights on this critical issue.<span lang=""EN-US""></span></li></ul><p>BVA is delighted to be working alongside our partners to deliver
sessions on the ethics of large-scale puppy farming in association with AWF, on
the future of veterinary nursing with BVNA, and on pet obesity with Mars
Petcare. <span lang=""EN-US""></span></p><p>The much-anticipated
Wooldridge Memorial Lecture will be given by Dr Temple Grandin, Professor of
Animal Science at Colorado State University and named by Time Magazine as one
of the 100 most influential people. Dr Grandin is a pioneering animal scientist,
best-selling author and autism spokesperson. She will be giving a ‘unique
insight’ into the minds of animals.</p><p>Launching the
programme, BVA President Simon Doherty said:</p><p> “This year’s BVA Congress will provide a
platform for delegates to come together to lift the lid and debate issues such
as sustainability within the profession, pet obesity, diversity within the
profession, anti-vax attitudes, and EMS. It’s an opportunity for vets of all
career stages to take time out of clinical CPD and sink their teeth into wider
issues that we all feel passionately about.”<span></span></p><p>BVA Congress sits among
an array of educational sessions from BVA and the RVC including the BVA Farm
Animal stream, the BVA/BEVA Equine stream, the BVA Career Development stream
and the RVC companion animal clinical streams. There is a total of 150+ hours
of veterinary CPD to be gained from attending the show. BVA members can get
access to the full BVA offering, as well as the usual London Vet Show
programme, for 15% less than the lowest advertised price, using their BVA
number and the code BVA8 at <a href=""https://london.vetshow.com/welcome"" title=""londonvetshow.co.uk"">londonvetshow.co.uk</a>.</p>",1,BVA
"#Timeforchange: BVA launches ‘Big Conversation’ as report shows a quarter of vets have experienced or witnessed discrimination this year<p>Ground-breaking data gathered by the
British Veterinary Association (BVA) have revealed that 24% of working vets and
vet students have experienced or witnessed discrimination in the past year. Yet
responses to the same survey showed that only 56% of the profession feel
concerned about discrimination.</p><p>To raise awareness of the scale of the
issue BVA is inviting all members of the veterinary team to join a “Big
Conversation on equality and inclusion in the veterinary professions”, starting
with the release of a landmark report on the current situation on
discrimination. The <em><a href=""https://www.bva.co.uk/uploadedFiles/Content/News,_campaigns_and_policies/Policies/Future_of_the_profession/BVA%20report%20on%20discrimination%20in%20the%20veterinary%20profession.pdf"" title=""BVA report on discrimination in the veterinary&#xA;profession"">BVA report on discrimination in the veterinary
profession</a></em>details the results of two research projects carried out by BVA
this year: the first large scale questionnaire capturing the experiences of
those who have either faced or witnessed discrimination and a <a href=""https://www.bva.co.uk/voice/"" title=""Voice of the&#xA;Veterinary Profession"">Voice of the
Veterinary Profession</a> survey measuring the scale of the issue.</p><p>The report reveals that 16% of vets and
vet students have personally experienced discrimination within a veterinary
workplace or learning environment in the past twelve months, while one in five
have been witness to such discrimination. Senior colleagues were most commonly
responsible for the discrimination (47% of incidents) with discrimination from
clients accounting for 35% of incidents.</p><p>British Veterinary Association Junior Vice President Daniella
Dos Santos said: “This is the first time anyone has
collected such a significant body of evidence on this issue and the results are
truly shocking. It is completely unacceptable that so many members of the
veterinary team are subject to discrimination not just from clients but from
members of our own profession.</p><p>“Worryingly, it seems that the scale of
the issue will come as a surprise to many members of our profession and so it
is vital that we all join the conversation and reflect on what role we can play
to improve equality and inclusion. The veterinary team must become a safe and
supportive environment for everyone. We cannot accept anything less for
ourselves, for our colleagues and for our profession.”</p><p>Sex discrimination was the most common
type reported (44% of incidents) and is particularly prevalent in academic
settings and in production animal, equine, and mixed practices. Race
discrimination was the next most commonly reported (27% of incidents).
Respondents also gave details of discrimination in relation to other protected
characteristics, including age, sexuality, disability and gender reassignment.</p><p>Younger vets are significantly more
likely than older vets to have personally experienced discrimination in the
past year (27% of those under 35 had experienced discrimination). Female vets
are more than twice as likely to have experienced discrimination than their
male colleagues (19% and 8% respectively). The incidence of discrimination is
higher amongst vets from a range of minority ethnic backgrounds, and those who
described their sexual orientation as bi, gay or lesbian were twice as likely
to have personally experienced discrimination in the past year. 


</p><p>Responding to the report, Christine
Midlemiss, UK Chief Veterinary Officer said: “I welcome this report and thank
BVA for raising these important issues through their survey, which will pave
the way for a more equal profession. Discrimination in the workplace is
completely unacceptable. I encourage all veterinary professionals to contribute
to the conversation and to speak up about discrimination, and I urge everyone,
especially employers, to take action to tackle this kind of behaviour in the
workplace. </p><p>“Our vets play a critical role in
controlling disease outbreaks, safeguarding animal health and welfare,
supporting trade and tackling global One Health challenges such as
antimicrobial resistance. I will be joining the profession-wide discussion
about the findings of the report to ensure that, as colleagues and as
employers, we all support our veterinary surgeons.”</p><p>Just 12% of respondents were satisfied
with how their incident had been dealt, rising to 23% among those who felt able
to report. Ms Dos Santos added: “Many of the experiences documented in our
report are shocking and distressing and this distress is often compounded by
what comes next. It was very saddening to hear that so many people have felt
unable to report their experiences or that their reports were handled badly by
those who received them. </p><p>“Experiencing discrimination can be very
traumatic, without the ‘double-whammy’ of having your complaint dismissed or
mishandled by managers or senior staff. We need to make sure everyone who
experiences discrimination is able to get the outcome they deserve.</p><p>“Through the discrimination
questionnaire we heard many distressing stories from vets, students, vet nurses
and other colleagues. We are incredibly grateful to them for sharing these with
us so that we can raise awareness of what’s happening in our veterinary
workplaces.”</p><p>BVA is launching a “Big Conversation on
equality and inclusion in the veterinary professions” this week. They are
asking members of veterinary teams across the UK to join online engagement
sessions through social media and inviting BVA members to feed in views via
their <a href=""https://www.bva.co.uk/About-BVA/Association/BVA-Council/#regional"" title=""regional representatives"">regional representatives</a> ahead of Council on 24 July.</p>",1,BVA
" Expert judging panel announced for BVA’s Young Vet of the Year Award <p>The British Veterinary Association has today announced an expert panel of judges for its <strong>BVA Young Vet of the Year Award</strong> – a new accolade aimed at vets at
an early stage in their careers who are making a big difference in their field
or community.</p><p>Judges will include: </p><ul><li>Lord
Trees, Professor of Veterinary Parasitology and Crossbench member of the House
of Lords</li><li>Daniella
Dos Santos, BVA’s Junior Vice President and a small animal and exotics vet</li><li>Niall
Connell, upcoming RCVS President and chair of its Diversity Working Group</li><li>Chloe
Roberts, a recent graduate and BVA Council member</li><li>Wendy
Talbot, European Specialist in Equine Internal Medicine and National Equine
Veterinary Manager, Zoetis</li></ul><p>Launched as a joint initiative with
Zoetis, this award is the first of its kind in terms of cross community reach
and aims to shine a light on ‘exceptional young vets’ across the UK.
Applications have been coming in thick and fast with nominated entries from
across the profession, from nurses, vets, and even pet owners. </p><p>The winner of the Young Vet of the Year
Award will receive a prize of £1000 cash as well as a career-enhancing
experience with Zoetis. Entries are open to all vets registered with the RCVS
and in the first eight years of their career. Applications can be made by self-entry
or by nomination and can be from those working within any veterinary sphere,
including clinical practice, research, education, or veterinary politics. </p><p>There is still time to apply! The deadline
for entries is Thursday 1 August 2019. More information on the award and
criteria can be found <a href=""https://www.bva.co.uk/membership-and-benefits/young-vets/young-vet-of-the-year-award/"">here</a>.
</p>",1,BVA
"Vets issue handy checklist for bug-free summer travels abroad with your pet <p>As holidaymakers across
the UK start preparations for summer getaways, the British Veterinary
Association (BVA) is urging jet-setting pet owners to take steps now to make
sure their pets don’t pick up worms, ticks and other parasites on holidays
abroad.</p><p>Many vector-borne
diseases that occur abroad are not seen in the UK, which leaves dogs and other
pets potentially unprotected and susceptible to contracting them. Such diseases
can be transmitted from one animal to another, including from animals to
humans, often by biting insects such as mosquitoes and ticks.</p><p>These exotic
diseases include leishmaniasis, an infectious disease transmitted by sandflies,
which occur commonly in Mediterranean coastal areas; Babesiosis, Ehrlichiosis,
Hepatozoonosis, Heartworm, Canine brucellosis, Rabies and Tapeworm, among
others. </p><p>In BVA’s
<a href=""https://www.bva.co.uk/voice/"" title=""Voice of the Veterinary Profession survey"">Voice of the Veterinary Profession survey</a> last year, a concerning 27% of
companion animal vets said that they had seen cases of leishmaniasis in their
practice in the previous twelve months, with smaller numbers of vets also
reporting cases of conditions like ehrlichiosis and heartworm. While many of
these cases are suspected to have come from <a href=""https://www.bva.co.uk/news-campaigns-and-policy/newsroom/news-releases/dog-rescuers-risk-harming-uk-dogs-and-owners-by-importing-dangerous-exotic-diseases-into-the-country,-vets-warn/"" title=""imported rescued dogs with unknown&#xA;health histories"">imported rescued dogs with unknown
health histories</a>, pets who have recently travelled abroad could also bring back
these diseases.</p><h3>BVA Junior Vice President Daniella Dos Santos said:

</h3><p>“We
know that a holiday abroad with a much-loved pet can be fun, but owners should
be aware of the serious health risks from unwanted bugs hitching a ride on our
pets. Prevention is always better than cure, and the good news is that there
are clear precautionary measures owners can take if they plan ahead. </p><p>“I’d
encourage pet owners to contact their local vet for information on pet travel
requirements and to book an appointment as soon as possible to make sure their
pet is fully protected when it travels this summer.”<span></span></p><h2>Pet travel checklist</h2><ol><li>Book an appointment with
     your vet at least three weeks before travel to get your pet started on the
     right medication at the right time. Discuss the countries you intend to
     travel so that your vet can identify specific health risks to which your
     pet may be exposed</li><li>Check that the rabies
     vaccination and pet passport are up to date</li><li>Ensure the microchip is
     working and reading correctly</li><li>Speak to your vet about
     preventive treatment needed to protect your dog against ticks, sandflies,
     heartworm and tapeworm and any other potential parasites or diseases. While tick treatments are not required under the pet
     travel scheme, BVA strongly advises that preventive, or prophylactic, tick
     treatment is continued. </li><li>Talk to your vet if going
     somewhere hot to discuss prevention of heatstroke and how to recognise
     symptoms of the condition in your dog</li><li>Identify a local vet in the
     area where you will be holidaying in case of an emergency and to
     administer (necessary) tapeworm treatment to dogs one to five days before
     arrival back into the UK. </li><li>If
your pet becomes ill after returning to the UK, it is very important to tell
your vet that you have been abroad with your pet, even if it was some time ago.

</li></ol>",1,BVA
"New President for BVA Welsh Branch<p>BVA
Welsh Branch has elected Ifan Lloyd as its new President at its AGM, held at
Cardiff City Hall on 25 June 2019.</p><p>Since
graduating from Cambridge in 1988 Ifan has worked mainly in mixed practice. He
was a partner in St James Veterinary Group, Swansea, for 23 years and still works
in the practice part time since his retirement from the partnership in 2017. </p><p>Ifan
is passionate about animal health and disease eradication. He is a member of
the Wales Animal Health and Welfare Framework Group and a director of Cefn
Gwlad Solutions, a company set up to lead bovine TB (bTB) related programmes,
collaborating with other industry stakeholders. He is also a director of Iechyd
Da (gwledig), the current bTB testing delivery partner in South Wales. He has
represented BVA on working groups to eradicate BVD and sheep scab in Wales and
is currently a member of BVA’s bTB working group.</p><p>Ifan
said, “As a founding member of BVA Welsh Branch I am honoured and delighted to
be elected as President. I have been passionate about representing the
veterinary profession in Wales for many years and I plan to use this experience
to represent my colleagues to the best of my abilities. I’m particularly looking
forward to working with the BVA Branch team again and to engaging with veterinary
colleagues throughout Wales to ensure their views on animal health, welfare and
disease eradication are heard where it really matters.”</p><p>Ifan
was the Regional Representative for Wales on BVA Council from 2011-2017 and
helped found BVA Welsh Branch Council in 2011. He also worked on the
ground-breaking BVA/RCVS Vet Futures project in 2014/15. Ifan succeeds Sarah
Carr as BVA Welsh Branch President, the principal representative of BVA in
Wales, for a two-year term. </p><p>Congratulating
Ifan on his election, BVA President Simon Doherty said, “I’m very pleased to
welcome Ifan as President of BVA Welsh Branch. He has already contributed so
much to BVA and to BVA Welsh Branch and I’m confident that he will bring his
trademark enthusiasm to this pivotal role. </p><p>“BVA’s
branches do a magnificent job in representing the veterinary profession across
the UK. Many of Wales’ recent animal health and welfare successes, such as the
screening of over half of Welsh farms in the first year of Gwaredu BVD’s
three-year programme, could not have been achieved without veterinary input and
involvement. BVA Welsh Branch will continue to advocate for animal health and
welfare in Wales both independently and through representing BVA on the
increasingly influential Animal Welfare Network Wales.</p><p>“Ifan’s
extensive experience in a variety of veterinary representative roles mean he is
perfectly placed to help Welsh Branch to continue this collaborative approach
and to be a strong voice for the Welsh veterinary community.</p><p>“I
would also like to take this opportunity to thank Sarah for all her hard work over
the last two years. She has brought boundless energy to the role and overseen a
step change in member and stakeholder engagement in Wales, from strengthening
our Young Vet Networks to spearheading the branch’s presence at last year’s
Royal Welsh Show.”</p><p>As
part of the network of devolved and specialist divisions, BVA Branches
contribute local knowledge and expertise to BVA’s wider lobbying and
representational activities. Recently BVA Welsh Branch has helped progress a
range of issues including work to review the requirements for setting up an
animal welfare organisation in Wales, a consultation on third party puppy sales
and progress revising welfare codes of practice for several different species. </p><p>They
played key roles in responding to the landmark ‘Brexit and Our Land’
consultation, securing the future of Welsh farming, and in representing the
profession on the newly formed collaborative Wales Animal and Environment AMR
delivery group.</p><p>Veterinary
graduate support has been another key issue in Wales this year with a number of
successful graduate events taking place and an excellent workforce and
recruitment discussion evening in Swansea.</p><p>Lesley
Griffiths, Minister for Environment, Energy and Rural Affairs, responded to the
speech as BVA’s Guest of Honour.</p>",1,BVA
"Collaboration is key for vets in Wales in unpredictable times ahead, says BVA<p>British
Veterinary Association (BVA) President Simon Doherty tonight (Tuesday 25 June) hailed
the joint working that is helping the Welsh veterinary workforce to continue
supporting high animal health and welfare outcomes in after Brexit and beyond.</p><p>Speaking
at BVA’s Annual Welsh Dinner at Cardiff’s City Hall, he recognised the huge
strength of feeling and scale of work being done to support and champion the
Welsh veterinary workforce in the months ahead.</p><p><a href=""https://www.bva.co.uk/uploadedFiles/Content/News,_campaigns_and_policies/Newsroom/Press_release_archive/Speech to the BVA annual Welsh Dinner 2019.v2.pdf"" title=""BVA President speech 2019 Annual Welsh Dinner (148 KB PDF)"">BVA President speech 2019 Annual Welsh Dinner (148 KB PDF)</a></p><p>Addressing
over 70 guests including Minister for Environment, Energy and Rural Affairs Lesley Griffiths, Welsh Assembly Members, key
representatives from animal health and welfare organisations, and
colleagues from across the veterinary profession, Mr Doherty thanked everyone
for supporting BVA’s campaign to get vets reinstated on the Shortage Occupation
List.   </p><p>The
Migration Advisory Committee recently published a report recognising the clear
evidence for restoring vets to the list, and the Home Office is expected to
make a decision on the recommendations shortly. Twenty-nine Welsh Assembly
members wrote to Michael Gove last year supporting BVA’s campaign, and Lesley
Griffiths also supported the call with a separate letter to the UK
Government.  </p><p>Mr
Doherty said: “I’d like to say a huge thank you to all of you who supported us.
The ball is now in the Home Office’s court to accept the committee’s
recommendations and we hope to hear some good news on this very soon.</p><p>“Reinstating
vets on the Shortage Occupation List is of course a huge win, but it is only
one piece of the puzzle when it comes to addressing some of the very real and
present challenges facing the Welsh veterinary workforce.  Whatever form and timeframes Brexit ends up
taking, we will keep working hard to ensure that the veterinary community has a
strong voice as post-Brexit policy is negotiated and shaped.”</p><p>Turning
to animal welfare standards after Brexit, Mr Doherty underlined the importance
of recognising animal health and welfare as public goods in new agricultural
policies.  He said: </p><p>“BVA
fed in to last year’s seminal <em>Brexit and
our Land</em> consultation, and highlighted that delivering animal health and
welfare as public goods should be at the heart of new agricultural policy.
Wales is justifiably proud of its high standards from farm to fork, and with
future trade deals on the horizon we must ensure that this reputation and the
accompanying consumer confidence in ‘Brand Wales’ both at home and abroad isn’t
undermined at any cost.”</p><p>Later
in his speech, Mr Doherty thanked Welsh Chief Veterinary Officer Christianne
Glossop and her team for working closely with vets and industry to ensure that
threats to public health, trade and wider society from animal diseases are
identified and managed.  Singling out
recent efforts and funding for monitoring and preventing diseases including
sheep scab, Bovine Tuberculosis (bTB) and Bovine Viral Diarrhoea (BVD) for
particular praise, he said: </p><p>“Wales is really leading the way when it
comes to both innovating and investing in work to monitor and protect against
diseases which can have devastating impacts. 
Effective disease prevention and eradication is a key tool for enhancing
economic resilience as well as the global image of ‘Brand Wales’ in the
unpredictable times ahead.”</p><p>Turning
to pet welfare, Mr Doherty welcomed the work on revising welfare codes for
several different species and the Welsh Government’s recent consultation into
third party puppy sales, but said that there was more to do to tackle wider
problems relating to dog breeding and irresponsible ownership.  He said:</p><p>“The
wider problems include illegal imports of puppies and street dogs from Eastern
Europe, backyard breeders and the phenomenon of ‘click and collect’ puppies who
may have poor health status or become abandoned due to poorly planned purchase
decisions.  We know that the Welsh
Government is very alive to these matters, and will make sure we continue to
have a voice in exploring solutions in the interests of tackling dog welfare
issues and seeing a step change in responsible ownership.”
 

</p><p>The
BVA President ended his speech by thanking BVA Welsh Branch for its hard
work in the past year engaging members in policy and giving them a strong voice
on key issues.  He gave a special thank
you to the branch’s outgoing President, Sarah Carr, saying: </p><p>“She
has brought boundless energy to her presidency and overseen a step change in member and stakeholder
engagement.”</p><p>Lesley
Griffiths, Minister for Environment, Energy and Rural Affairs, responded to the
speech as BVA’s Guest of Honour.</p>",1,BVA
