body,fake,source
,,
"Can't meet today's deadline, Karnataka speaker tells SC; hearing tomorrowRamesh Kumar’s application also asked if the top court could dictate a timeline to the Assembly Speaker. It argued that the speaker needed time to verify if the resignations tendered by the MLAs were voluntary or forced. I",0,Hindustan Times
,,
"India vs New Zealand, World Cup semi-final: 'Retirement ka vichar bhi aap mann mein...Legendary singer Lata Mangeshkar urged Dhoni to play on and not announce his retirement from the game. ",0,Hindustan Times
,,
"Karnataka crisis - 'Why should I quit, did you': Kumaraswamy's sharp counter to...Kumaraswamy’s rejection came a day after a BJP delegation, led by Yeddyurappa, on Wednesday petitioned the Governor in Raj Bhavan here seeking the incumbent leader’s resignation, as he lost majority and had no moral right to continue as Chief Minister of the coalition government any longer.",0,Hindustan Times
,,
"'Papa out to kill me', says BJP MLA's daughter on video after marrying a DalitSakshi Misra (23), who is the daughter of Rajesh Misra, the MLA from Bithari Chainpur in Bareilly district, uploaded videos on social media on Wednesday announcing her wedding to Ajitesh Kumar (29). ",0,Hindustan Times
,,
"India vs New Zealand, semi-final World Cup 2019: 'Not pathetic at all': Yuvraj Singh...India suffered a rare top-order collapse that saw them lose to New Zealand by 18 runs despite fighting half-centuries from Ravindra Jadeja and MS Dhoni.",0,Hindustan Times
,,
"'Age gap, income my concerns': BJP MLA after daughter accuses him of witch huntSakshi Misra (23) uploaded videos on social media on Wednesday announcing her wedding to Ajitesh Kumar (29) and alleging that her life was in danger from her father and asked the police for security.",0,Hindustan Times
,,
"'He loved his animals': Missing Texas man eaten by his 18 dogsMedical examiners said Tuesday that DNA testing determined that pieces of bone recovered from the dogs’ feces were those of 57-year-old Freddie Mack, according to the Johnson County Sheriff’s Office.",0,Hindustan Times
,,
"India vs New Zealand, semi-finals, ICC World Cup: 'We gave everything we had' -...Cricket world cup: There was a fightback from Rishabh Pant, MS Dhoni, Hardik Pandya and there was a special innings played by Ravindra Jadeja, but Kohli’s men ran out of steam and finished short of the target.",0,Hindustan Times
,,
Off to work (early): Indian campuses are making students industry-readyInstitutions are forging collaborations and redesigning curricula to make graduates more employable.,0,Hindustan Times
,,
HT&thinsp;Editorial | The flawed Karnataka experimentThe JD(S)-Congress coalition is neither able to hold nor deliver,0,Hindustan Times
,,
"Amit Shah's Valley challenge: Avoiding unilateral forced constitutional measuresHis doctrine will be a success when the majority of the people of J&K themselves realise that greater integration with India will provide them with more opportunities, provide more freedom and space, strengthen their rights much more than the dystopian dream of Azadi",0,Hindustan Times
,,
"An India-New Zealand semi story: An element of spice &amp; unpredictabilityIndia starts as favourites, but should take nothing for granted against New Zealand",0,Hindustan Times
,,
"With Article 15, Bollywood, finally, sheds its caste blind spotIt is the bravest mainstream film of the decade, placing caste at the centre of power relations",0,Hindustan Times
,,
Hong Kong's protests will roll into history's footnotesThe mass resistance of Hong Kongers may come to be seen as a symbol of what much of the world may have to do in a more structured manner against the global variant of the “China dream.”,0,Hindustan Times
,,
What the quest for a $5 trillion economy entailsDid the inertia of the budgetary process sabotage the claimed novelty of the budget? Did it miss a trick?,0,Hindustan Times
,,
"'Ready for everything&hellip; fix time for trust vote': Karnataka CM Kumaraswamy to Sp...Karnataka crisis: Since Saturday, 16 MLAs from the coalition have put in their papers. If accepted, it will push the ruling alliance into a minority in the 224-member assembly.",0,Hindustan Times
,,
'No decision till July 16 hearing': Supreme Court tells Karnataka SpeakerKarnataka Speaker KR Ramesh Kumar told the Supreme Court on Friday that he was constitutionally bound to decide on the disqualification petitions before he takes a call on the resignation letters,0,Hindustan Times
,,
"Maratha reservation not retrospective, says SC, sends notice to MaharashtraMaratha Reservation: Petitioners in the case had said that the government had notified the reservation policy with retrospective effect from 2014.",0,Hindustan Times
,,
"Rohit Sharma to lead India as Virat Kohli likely to be rested for West Indies series,...India's Rohit Sharma will lead in the limited overs leg of the West Indies series as Virat Kohli is likely to be rested. Ajinkya Rahane will lead the Test side if Kohli is given a break in the Test matches",0,Hindustan Times
,,
