body,fake,source
,,
" Heavy rain, floods in China force evacuation of nearly 80,000   <a href=""https://www.indiatoday.in/world/story/heavy-rain-floods-in-china-force-evacuation-of-nearly-80-000-1566771-2019-07-11""> <img align=""left"" hspace=""2"" height=""180"" width=""305"" alt="""" border=""0"" src=""https://akm-img-a-in.tosshub.com/indiatoday/images/story/201907/download__4__0-647x363.jpeg?SdN1aG2lrJChE12NvxWvU2ECgzGl.k8C""> </a> Heavy rain, floods in China force evacuation of nearly 80,000",0,India Today
,,
" In challenge to Beijing, Hong Kong activists attempt to take fight to mainland   <a href=""https://www.indiatoday.in/world/story/hong-kong-activists-attempt-fight-mainland-1566733-2019-07-11""> <img align=""left"" hspace=""2"" height=""180"" width=""305"" alt="""" border=""0"" src=""https://akm-img-a-in.tosshub.com/indiatoday/images/story/201907/HONG_KONG_PROTESTERS-647x363.png?f7pPV0Aa7eVdJFzRMwN_wDO1aDMotCHw""> </a> In challenge to Beijing, Hong Kong activists attempt to take fight to mainland",0,India Today
,,
" Karachi: PM Imran Khan hits out at poor railways as crash kills 11, injures dozens   <a href=""https://www.indiatoday.in/world/story/karachi-pm-imran-khan-hits-out-at-poor-railways-as-crash-kills-11-injures-dozens-1566726-2019-07-11""> <img align=""left"" hspace=""2"" height=""180"" width=""305"" alt="""" border=""0"" src=""https://akm-img-a-in.tosshub.com/indiatoday/images/story/201907/imran_647_121115113056-647x363.jpeg?enX94HMq3Rp4hWmCftO6lYW62uuFDRjQ""> </a> Karachi: PM Imran Khan hits out at poor railways as crash kills 11, injures dozens",0,India Today
,,
" Britain says Iran attempted to block its oil tanker   <a href=""https://www.indiatoday.in/world/story/britain-says-iran-attempted-to-block-its-oil-tanker-1566671-2019-07-11""> <img align=""left"" hspace=""2"" height=""180"" width=""305"" alt="""" border=""0"" src=""https://akm-img-a-in.tosshub.com/indiatoday/images/story/201907/download__3__2-647x363.jpeg?mfEED3qULQiQ3Pf2FnGpbufVb5CEoeJt""> </a> Britain says Iran attempted to block its oil tanker",0,India Today
,,
" As Fed rate cut looms, HSBC favors China shares over India   <a href=""https://www.indiatoday.in/world/story/as-fed-rate-cut-looms-hsbc-favors-china-shares-over-india-1566605-2019-07-11""> <img align=""left"" hspace=""2"" height=""180"" width=""305"" alt="""" border=""0"" src=""https://akm-img-a-in.tosshub.com/indiatoday/images/story/201907/download__1__5-647x363.jpeg?vLipFvLB9XzXtpY.22BFaJoVO.fKSzD0""> </a> As Fed rate cut looms, HSBC favors China shares over India",0,India Today
,,
" Powell testimony, Fed meeting highlight case for insurance   <a href=""https://www.indiatoday.in/world/story/powell-testimony-1566600-2019-07-11""> <img align=""left"" hspace=""2"" height=""180"" width=""305"" alt="""" border=""0"" src=""https://akm-img-a-in.tosshub.com/indiatoday/images/story/201907/gerome_powell-647x363.png?b5z6exAZxx6bBsXjr_8TxYK9HyjrsISZ""> </a> Powell testimony, Fed meeting highlight case for insurance",0,India Today
,,
" Taiwan president leaves for US, warns of threat from overseas forces   <a href=""https://www.indiatoday.in/world/story/taiwan-president-leaves-for-us-warns-of-threat-from-overseas-forces-1566545-2019-07-11""> <img align=""left"" hspace=""2"" height=""180"" width=""305"" alt="""" border=""0"" src=""https://akm-img-a-in.tosshub.com/indiatoday/images/story/201907/taiwan_story_647_021517085503-647x363.jpeg?A09UC4wAM1I._WPPAAFCM2Xk.xW336M.""> </a> Taiwan president leaves for US, warns of threat from overseas forces",0,India Today
,,
" Louisiana braces for possible weekend hurricane   <a href=""https://www.indiatoday.in/world/story/louisiana-braces-for-possible-weekend-hurricane-1566520-2019-07-11""> <img align=""left"" hspace=""2"" height=""180"" width=""305"" alt="""" border=""0"" src=""https://akm-img-a-in.tosshub.com/indiatoday/images/story/201907/AP19191774025424-647x363.jpeg?xaoJrKUF8hX_skRYEpIGVE3OGvTxVarg""> </a> Louisiana braces for possible weekend hurricane",0,India Today
,,
" IBM proposes changes to law shielding internet firms from user content liability   <a href=""https://www.indiatoday.in/world/story/ibm-proposes-changes-to-law-shielding-internet-firms-from-user-content-liability-1566486-2019-07-11""> <img align=""left"" hspace=""2"" height=""180"" width=""305"" alt="""" border=""0"" src=""https://akm-img-a-in.tosshub.com/indiatoday/images/story/201907/DxApA1dX0AAJdXR-647x363.jpeg?_h0PpzTH3dyxpfQjQBAxMC_c1mI5SRXh""> </a> IBM proposes changes to law shielding internet firms from user content liability",0,India Today
,,
" UK parliament's Big Ben bell marks 160 years with silence as restoration work continues   <a href=""https://www.indiatoday.in/world/story/uk-parliament-s-big-ben-bell-marks-160-years-with-silence-as-restoration-work-continues-1566443-2019-07-11""> <img align=""left"" hspace=""2"" height=""180"" width=""305"" alt="""" border=""0"" src=""https://akm-img-a-in.tosshub.com/indiatoday/images/story/201907/download_8-647x363.jpeg?LXdkCF1L02OIf_LgjIgvPercZQFMrX8g""> </a> UK parliament's Big Ben bell marks 160 years with silence as restoration work continues",0,India Today
,,
" This man loved his animals: Missing Texas man was eaten by his own 18 dogs   <a href=""https://www.indiatoday.in/world/story/missing-texas-man-was-eaten-his-own-18-dogs-1566488-2019-07-11""> <img align=""left"" hspace=""2"" height=""180"" width=""305"" alt="""" border=""0"" src=""https://akm-img-a-in.tosshub.com/indiatoday/images/story/201907/WireAP_a7f3e9973b784330bd75ccc-647x363.jpeg?3VaO4ADCFDlXA4oV3CF1xCtnpT18qwCW""> </a> This man loved his animals: Missing Texas man was eaten by his own 18 dogs",0,India Today
,,
" Diplomats shaken for now after Britain's US ambassador quits   <a href=""https://www.indiatoday.in/world/story/britain-us-ambassador-quits-1566493-2019-07-11""> <img align=""left"" hspace=""2"" height=""180"" width=""305"" alt="""" border=""0"" src=""https://akm-img-a-in.tosshub.com/indiatoday/images/story/201907/AP19191415589482-647x363.jpeg?X0lJ5wEj9uWP0XSsYPV1a9NHi8EAWjYj""> </a> Diplomats shaken for now after Britain's US ambassador quits",0,India Today
,,
" 10 killed, 35 injured after trains collide in Pakistan   <a href=""https://www.indiatoday.in/world/story/pakistan-train-accident-1566451-2019-07-11""> <img align=""left"" hspace=""2"" height=""180"" width=""305"" alt="""" border=""0"" src=""https://akm-img-a-in.tosshub.com/indiatoday/images/story/201907/karachi-bound-awam-express_647-647x363.jpeg?8Qn5iDBdVmawbwpQd4TWuqGScS4Yvfg.""> </a> 10 killed, 35 injured after trains collide in Pakistan",0,India Today
,,
" Donald Trump accuses Iran of secret nuclear enrichment, says sanctions to be cranked up substantially   <a href=""https://www.indiatoday.in/world/story/donald-trump-accuses-iran-secret-nuclear-enrichment-sanctions-up-substantially-1566435-2019-07-11""> <img align=""left"" hspace=""2"" height=""180"" width=""305"" alt="""" border=""0"" src=""https://akm-img-a-in.tosshub.com/indiatoday/images/story/201907/us_iran-647x363.png?6oiztKHyZvFTNU7dPOkrxxi2d6hjHsJQ""> </a> Donald Trump accuses Iran of secret nuclear enrichment, says sanctions to be cranked up substantially",0,India Today
,,
" Flooding swamps New Orleans, possible hurricane coming next   <a href=""https://www.indiatoday.in/world/story/flooding-new-orleans-possible-hurricane-next-1566429-2019-07-11""> <img align=""left"" hspace=""2"" height=""180"" width=""305"" alt="""" border=""0"" src=""https://akm-img-a-in.tosshub.com/indiatoday/images/story/201907/AP19191689214164-647x363.jpeg?JsyE2eTAtDjDGCdPDMDgmABN1ZxmmFju""> </a> Flooding swamps New Orleans, possible hurricane coming next",0,India Today
,,
" US border agency says it is holding 200 children, down from 2,500 in May   <a href=""https://www.indiatoday.in/world/story/us-border-agency-holding-200-children-down-2-500-may-1566422-2019-07-11""> <img align=""left"" hspace=""2"" height=""180"" width=""305"" alt="""" border=""0"" src=""https://akm-img-a-in.tosshub.com/indiatoday/images/story/201907/2019-07-02T162600Z_1842575144_-647x363.png?dsp_AElMcD5ITjcLNZIv9.KcZmmdxF9C""> </a> US border agency says it is holding 200 children, down from 2,500 in May",0,India Today
,,
" US House passes bill removing cap on issuing green cards   <a href=""https://www.indiatoday.in/world/story/us-house-passes-bill-removing-country-cap-on-issuing-green-cards-1566421-2019-07-11""> <img align=""left"" hspace=""2"" height=""180"" width=""305"" alt="""" border=""0"" src=""https://akm-img-a-in.tosshub.com/indiatoday/images/story/201907/us_green_card-647x363.jpeg?MRP0tSWjl4Y3Ksx9xMsYSFfPORqCgdA2""> </a> US House passes bill removing cap on issuing green cards",0,India Today
,,
" Britain's ambassador to US resigns amid row over leaked emails   <a href=""https://www.indiatoday.in/world/story/britain-ambassador-to-us-darroch-resigns-amid-row-over-leaked-emails-1566076-2019-07-10""> <img align=""left"" hspace=""2"" height=""180"" width=""305"" alt="""" border=""0"" src=""https://akm-img-a-in.tosshub.com/indiatoday/images/story/201907/atke-647x363.png?_Vzv3_p_a7dZv1.6OKYdkGoX9LX8Lfeu""> </a> Britain's ambassador to US resigns amid row over leaked emails",0,India Today
,,
" Sri Lanka to revive visa on arrival for 39 countries except India, China   <a href=""https://www.indiatoday.in/world/story/sri-lanka-visa-on-arrival-india-china-1566067-2019-07-10""> <img align=""left"" hspace=""2"" height=""180"" width=""305"" alt="""" border=""0"" src=""https://akm-img-a-in.tosshub.com/indiatoday/images/story/201907/sri_lanka__4__0-647x363.png?qZovzVRJ1dIA2.uiTzWeM.mBfl6t9YSG""> </a> Sri Lanka to revive visa on arrival for 39 countries except India, China",0,India Today
,,
" Convicted politicians not to get media time in Pakistan   <a href=""https://www.indiatoday.in/world/story/convicted-politicians-not-get-media-time-pakistan-1565909-2019-07-10""> <img align=""left"" hspace=""2"" height=""180"" width=""305"" alt="""" border=""0"" src=""https://akm-img-a-in.tosshub.com/indiatoday/images/story/201907/Imran_Khan_Twitter_PTI_0-647x363.jpeg?8jZLV00huLmN1fcIFiLDd_E.qdAo6A_W""> </a> Convicted politicians not to get media time in Pakistan",0,India Today
,,
" Global response to eradicate poverty, combat climate change not ambitious enough: UN   <a href=""https://www.indiatoday.in/world/story/global-response-to-eradicate-poverty-combat-climate-change-not-ambitious-enough-un-1565890-2019-07-10""> <img align=""left"" hspace=""2"" height=""180"" width=""305"" alt="""" border=""0"" src=""https://akm-img-a-in.tosshub.com/indiatoday/images/story/201907/un-story-fb_647_051117083451-647x363.jpeg?917FehOnDwebJhy5Z4tFhDIRTLvEVe0Y""> </a> Global response to eradicate poverty, combat climate change not ambitious enough: UN",0,India Today
,,
" Massachusetts teen gets life term for beheading classmate   <a href=""https://www.indiatoday.in/world/story/massachusetts-teen-gets-life-term-for-beheading-classmate-1565893-2019-07-10""> <img align=""left"" hspace=""2"" height=""180"" width=""305"" alt="""" border=""0"" src=""https://akm-img-a-in.tosshub.com/indiatoday/images/story/201907/MAN_KILLS_MATE-647x363.png?WZJChb46XqnXlBK7AAR1lLvT9aa47Z10""> </a> Massachusetts teen gets life term for beheading classmate",0,India Today
,,
" Donald Trump defends Acosta but will look into Epstein plea deal   <a href=""https://www.indiatoday.in/world/story/donald-trump-alex-acosta-1565889-2019-07-10""> <img align=""left"" hspace=""2"" height=""180"" width=""305"" alt="""" border=""0"" src=""https://akm-img-a-in.tosshub.com/indiatoday/images/story/201907/trump_2_1_0-647x363.jpeg?yVBkqS80iNBLTia6ofRahULMRwHP1tLE""> </a> Donald Trump defends Acosta but will look into Epstein plea deal",0,India Today
,,
" Nawaz Sharif's daughter Maryam summoned by anti-graft court in fake trust deed case   <a href=""https://www.indiatoday.in/world/story/nawaz-sharif-daughter-maryam-summoned-by-anti-graft-court-in-fake-trust-deed-case-1565876-2019-07-10""> <img align=""left"" hspace=""2"" height=""180"" width=""305"" alt="""" border=""0"" src=""https://akm-img-a-in.tosshub.com/indiatoday/images/story/201907/maryam-770x433_0-647x363.png?ds5f54XuAqugM1vn4F5Cud6xSAzznEkp""> </a> Nawaz Sharif's daughter Maryam summoned by anti-graft court in fake trust deed case",0,India Today
,,
" Biden earned more than $15 million after leaving White House   <a href=""https://www.indiatoday.in/world/story/joe-biden-obama-white-house-1565842-2019-07-10""> <img align=""left"" hspace=""2"" height=""180"" width=""305"" alt="""" border=""0"" src=""https://akm-img-a-in.tosshub.com/indiatoday/images/story/201907/Joe_biden-647x363.png?s44XQawuW9CH2Tfvmwp3A2pDmqRtt_vY""> </a> Biden earned more than $15 million after leaving White House",0,India Today
,,
" Parents of Pakistan boy who drowned in J&K appeal for his body to be returned    <a href=""https://www.indiatoday.in/world/story/pakistani-boy-s-parents-appeal-to-sent-his-body-home-1565826-2019-07-10""> <img align=""left"" hspace=""2"" height=""180"" width=""305"" alt="""" border=""0"" src=""https://akm-img-a-in.tosshub.com/indiatoday/images/story/201907/kashmir-647x363.png?QpngZJt0MbhF0a7SGVCwAKuGNLZBVo6Y""> </a> Parents of Pakistan boy who drowned in J&K appeal for his body to be returned ",0,India Today
,,
" US Democratic lawmakers declare climate emergency   <a href=""https://www.indiatoday.in/world/story/us-climate-emrgency-1565778-2019-07-10""> <img align=""left"" hspace=""2"" height=""180"" width=""305"" alt="""" border=""0"" src=""https://akm-img-a-in.tosshub.com/indiatoday/images/story/201907/cliamte-647x363.png?mXSMdo4yDdmiMZ3Uga.dGBlepDFCYfYU""> </a> US Democratic lawmakers declare climate emergency",0,India Today
,,
" 1 in 4 Pakistani kids won't complete primary education by 2030: Unesco   <a href=""https://www.indiatoday.in/world/story/1-in-4-pakistani-kids-won-t-complete-primary-education-by-2030-unesco-1565763-2019-07-10""> <img align=""left"" hspace=""2"" height=""180"" width=""305"" alt="""" border=""0"" src=""https://akm-img-a-in.tosshub.com/indiatoday/images/story/201907/a_0-647x363.png?lyQ4mLUgOOjl_fH2ujt4aKp_n5QGIgue""> </a> 1 in 4 Pakistani kids won't complete primary education by 2030: Unesco",0,India Today
,,
" Trump cannot block people on Twitter: US court   <a href=""https://www.indiatoday.in/world/story/trump-cannot-block-people-on-twitter-us-court-1565741-2019-07-10""> <img align=""left"" hspace=""2"" height=""180"" width=""305"" alt="""" border=""0"" src=""https://akm-img-a-in.tosshub.com/indiatoday/images/story/201907/trump_0-647x363.png?cz2wZPKtyZ73wa5v2RFToBaNbrRgzeWc""> </a> Trump cannot block people on Twitter: US court",0,India Today
,,
" US wants North Korea freeze as beginning, not end, of denuclearization   <a href=""https://www.indiatoday.in/world/story/us-wants-north-korea-freeze-as-beginning-not-end-of-denuclearization-1565735-2019-07-10""> <img align=""left"" hspace=""2"" height=""180"" width=""305"" alt="""" border=""0"" src=""https://akm-img-a-in.tosshub.com/indiatoday/images/story/201907/2019-07-04T095756Z_1107249886__0-647x363.png?tbxHXyrt5fPzr5UUva9_Q6cq5lFhcbcd""> </a> US wants North Korea freeze as beginning, not end, of denuclearization",0,India Today
,,
