body,fake,source
,,
"Virat Kohli bats for IPL-style playoffs in World Cup after semifinal exitAsked whether IPL-style playoffs should be an option in future, Kohli said, ""Who knows in future. Maybe. If topping the table means anything. I think these things can come into consideration, looking at the magnitude of this tournament."" Kohli, however, said the semifinal format has its own charm as it completely negates a team's previous performances in the event.",0,Times Of India
,,
"K'taka crisis: Why BJP is wary of a floor testDespite the JD(S)-Congress coalition government being reduced to a minority (100 MLAs), the opposition BJP is still wary of seeking a trust vote or of moving a no-confidence motion in the monsoon session of the legislature beginning Friday. Instead, the saffron party has been seeking the resignation of chief minister HD Kumaraswamy on moral grounds.",0,Times Of India
,,
"Live: MLAs camping in Mumbai leave for B'luruThe disgruntled Congress MLAs have said that they would tender their resignations to the assembly speaker afresh, in accordance with the Supreme Court order. The apex court had urged the speaker to decide on the legislators' resignations during the course of the day.  Stay with TOI for all the latest updates",0,Times Of India
,,
"Why should I resign, says HD KumaraswamyKarnataka chief minister HD Kumaraswamy sought to know on Thursday why should he step down from the post. He recalled that in 2009-10, 18 MLAs had ""opposed"" the then CM BS Yeddyurappa but he had not resigned. The coalition government suffered a fresh jolt with 2 more Congress MLAs resigning, taking the tally of MLAs who have put in their papers to 16.",0,Times Of India
,,
"France passes law taxing digital giants France on Thursday became the first major economy to impose a tax on digital giants, with parliament passing the legislation in defiance of a probe ordered by President Donald Trump that could trigger reprisal tariffs. The legislation -- dubbed the GAFA tax -- an acronym for Google, Apple, Facebook and Amazon -- was passed by a simple show of hands in the Senate upper house after previously being passed by the National Assembly lower chamber.",0,Times Of India
,,
"Karnataka live: HDK to seek trust vote, asks speaker to fix timeKarnataka chief minister HD Kumaraswamy said he would seek a trust vote and asked speaker KR Ramesh Kumar to fix the time for it. He made the plea in the assembly amid a flurry of political developments that have pushed the wobbly government on the brink of collapse. Stay with TOI for all the latest updates.",0,Times Of India
,,
